"22","EXPERT TECHNIQUE PHP/SYMFONY (F/H) | Casablanca (Maroc)","SQLI Maroc:Créée en 1990, SQLI est une agence internationale dédiée à l’expérience digitale et spécialisée...","En tant qu'Expert Symfony, vous aurez à mettre en œuvre les activités ci-après (liste non exhaustive ni restrictive)..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-phpsymfony-fh-recrutement-sqli-maroc-casablanca-138535.html","2022-06-03 00:00:00"
"23","Ingénieur Concepteur Développeur Java JEE (Confirmé/Senior) | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","En tant que développeur confirmé, vous totalisez au minimum 3 années d'expérience, vous parlez couramment Français et..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-java-jee-confirmesenior-recrutement-sqli-maroc-rabat-138534.html","2022-06-03 00:00:00"
"24","EXPERT TECHNIQUE PHP/SYMFONY (F/H) | Rabat (Maroc)","SQLI Maroc:Créée en 1990, SQLI est une agence internationale dédiée à l’expérience digitale et spécialisée...","En tant qu'Expert Symfony, vous aurez à mettre en œuvre les activités ci-après (liste non exhaustive ni restrictive)..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-phpsymfony-fh-recrutement-sqli-maroc-rabat-138533.html","2022-06-03 00:00:00"
"25","Ingénieur de Production Bancaire | Casablanca (Maroc)","Altados est un acteur de la transformation numérique. Avec ses collaborateurs, Altados accompagne la transformation de ses clients au Maroc et en France, depuis...","Altados est à la recherche d'un "" Ingénieur de Production Bancaire "" pour le compte de son client basé sur Casablanca, et ce..."," du 03/06/2022 au 03/08/2022","Banque / Finance","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","Freelance","https://www.rekrute.com/offre-emploi-ingenieur-de-production-bancaire-recrutement-altados-casablanca-138532.html","2022-06-03 00:00:00"
"26","Intégration Service Manager | Casablanca (Maroc)","Altados est un acteur de la transformation numérique. Avec ses collaborateurs, Altados accompagne la transformation de ses clients au Maroc et en France, depuis...","Altados est à la recherche d'un "" Intégration Service Manager "" pour le compte de son client basé sur Casablanca, et ce pour..."," du 03/06/2022 au 03/08/2022","Banque / Finance","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","Freelance","https://www.rekrute.com/offre-emploi-integration-service-manager-recrutement-altados-casablanca-138531.html","2022-06-03 00:00:00"
"27","Ingénieur Concepteur Développeur Magento (H/F) | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Rabat recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-magento-hf-recrutement-sqli-maroc-casablanca-138528.html","2022-06-03 00:00:00"
"28","Ingénieur Concepteur Développeur Magento (H/F) | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Rabat recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-magento-hf-recrutement-sqli-maroc-rabat-138527.html","2022-06-03 00:00:00"
"29","Expert Technique Magento (H/F) | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Casablanca recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-magento-hf-recrutement-sqli-maroc-casablanca-138525.html","2022-06-03 00:00:00"
"30","Ingénieur Concepteur Développeur Drupal | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Casablanca recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +3                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-drupal-recrutement-sqli-maroc-casablanca-138523.html","2022-06-03 00:00:00"
"31","Ingénieur Concepteur Développeur Drupal | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Rabat recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +3                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-drupal-recrutement-sqli-maroc-rabat-138522.html","2022-06-03 00:00:00"
